match_id,player_id,pressing_action_count,pressing_actions_per_90,press_success_rate,regain_rate,disruption_rate,successful_press_count,successful_presses_per_90,total_regain_count,regains_per_90,direct_regain_count,indirect_regain_count,total_disruption_count,direct_disruption_count,indirect_disruption_count,presses_leading_to_shot,presses_leading_to_goal,shot_creation_rate,high_block_press_count,medium_block_press_count,low_block_press_count,counter_press_count,counter_presses_per_90
2015213,560917,6,11.238293444328825,0.16666666666666666,0.16666666666666666,0.0,1,1.8730489073881376,1,1.8730489073881376,0,1,0,0,0,0,0,0.0,3,3,0,1,1.8730489073881376
2017461,582974,13,18.41939546599496,0.15384615384615385,0.15384615384615385,0.0,2,2.8337531486146093,2,2.8337531486146093,0,2,0,0,0,0,0,0.0,3,9,0,2,2.8337531486146093
2017461,11117,7,7.467994310099574,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.14285714285714285,2,3,0,5,5.334281650071124
2015213,795529,41,49.69027740371667,0.12195121951219512,0.12195121951219512,0.0,5,6.05978992728252,5,6.05978992728252,0,5,0,0,0,1,0,0.024390243902439025,20,19,0,8,9.695663883652033
2015213,133501,21,18.932184714013825,0.09523809523809523,0.09523809523809523,0.0,2,1.8030652108584595,2,1.8030652108584595,0,2,0,0,0,0,0,0.0,11,9,1,6,5.409195632575378
2015213,51008,8,7.212260843433838,0.25,0.25,0.0,2,1.8030652108584595,2,1.8030652108584595,0,2,0,0,0,0,0,0.0,3,5,0,2,1.8030652108584595
2017461,50955,10,10.668563300142248,0.3,0.1,0.2,3,3.200568990042674,1,1.0668563300142249,0,1,2,0,2,0,0,0.0,1,6,0,7,7.467994310099574
2015213,23418,6,11.238293444328825,0.16666666666666666,0.0,0.16666666666666666,1,1.8730489073881376,0,0.0,0,0,1,0,1,0,0,0.0,3,3,0,1,1.8730489073881376
2017461,133498,4,4.4543429844098,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1,3,0,1,1.11358574610245
2017461,43829,5,13.274336283185841,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,4,0,3,7.964601769911504
2015213,163972,23,28.65051903114187,0.17391304347826086,0.13043478260869565,0.043478260869565216,4,4.982698961937716,3,3.737024221453287,0,3,1,0,1,0,0,0.0,13,10,0,6,7.474048442906574
2017461,811820,4,3.6953397659618146,0.25,0.0,0.25,1,0.9238349414904536,0,0.0,0,0,1,0,1,0,0,0.0,1,3,0,2,1.8476698829809073
2015213,38673,32,28.849043373735352,0.0625,0.03125,0.03125,2,1.8030652108584595,1,0.9015326054292297,0,1,1,0,1,0,0,0.0,24,7,0,3,2.704597816287689
2017461,624628,21,29.7544080604534,0.14285714285714285,0.14285714285714285,0.0,3,4.250629722921914,3,4.250629722921914,0,3,0,0,0,0,0,0.0,8,13,0,6,8.501259445843829
2017461,11885,7,8.97052541648868,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1,4,1,6,7.689021785561725
2015213,560916,45,40.56896724431534,0.13333333333333333,0.06666666666666667,0.06666666666666667,6,5.409195632575378,3,2.704597816287689,0,3,3,1,2,2,0,0.044444444444444446,19,24,1,10,9.015326054292297
2015213,51675,19,19.96264300723792,0.10526315789473684,0.10526315789473684,0.0,2,2.1013308428671493,2,2.1013308428671493,0,2,0,0,0,2,0,0.10526315789473684,3,12,0,11,11.557319635769321
2017461,965685,5,13.274336283185841,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,3,2,0,4,10.619469026548673
2017461,133501,10,11.832763607678148,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1,7,0,5,5.916381803839074
2017461,23418,12,13.3630289532294,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.08333333333333333,0,8,2,5,5.56792873051225
2017461,159688,15,13.857524122356805,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,2,0,0.13333333333333333,1,11,0,12,11.086019297885445
2017461,800322,5,4.619174707452268,0.2,0.2,0.0,1,0.9238349414904536,1,0.9238349414904536,0,1,0,0,0,1,0,0.2,1,2,0,4,3.6953397659618146
2015213,582974,4,7.49219562955255,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1,3,0,2,3.746097814776275
2017461,29075,5,6.407518154634771,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1,4,0,3,3.8445108927808627
2017461,14736,9,8.314514473414084,0.1111111111111111,0.0,0.1111111111111111,1,0.9238349414904536,0,0.0,0,0,1,1,0,1,0,0.1111111111111111,0,8,0,4,3.6953397659618146
2017461,157294,8,7.390679531923629,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,6,0,7,6.466844590433176
2017461,38673,21,19.40053377129953,0.09523809523809523,0.047619047619047616,0.047619047619047616,2,1.8476698829809073,1,0.9238349414904536,0,1,1,0,1,0,0,0.0,6,12,2,5,4.619174707452268
2015213,14736,8,7.212260843433838,0.125,0.125,0.0,1,0.9015326054292297,1,0.9015326054292297,0,1,0,0,0,1,0,0.125,2,5,0,6,5.409195632575378
2015213,795527,17,17.362687244666365,0.17647058823529413,0.11764705882352941,0.058823529411764705,3,3.064003631411711,2,2.0426690876078073,0,2,1,1,0,2,0,0.11764705882352941,5,9,1,8,8.17067635043123
